Adresas,Kaina,Namo numeris:,Plotas:,Sklypo plotas:,Kambarių sk.:,Aukštų sk.:,Metai:,Pastato tipas:,Namo tipas:,Šildymas:,Vanduo:,Įrengimas:,Ypatybės:,Papildomos patalpos:,Papildoma įranga:,Apsauga:,Reklama:,Reklama/pasiūlymas:,Artimiausias vandens telkinys:,Iki vandens telkinio (m):,Pastato energijos suvartojimo klasė:,Unikalus daikto numeris(RC numeris):
"Kauno r. sav., Rinkūnų k., Kadagių g., mūrinis sublokuotas namas",137 000 €,14,111 m²,"4,6 a",4,2,2022,Mūrinis,Sublokuotas namas,Aeroterminis,Artezinis,Dalinė apdaila,Kraštinis sklypasElektra,,Šildomos grindys,SignalizacijaVaizdo kameros,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kaunas, Romainiai, P. Tarasenkos g., mūrinis namas",204 000 €,,98 m²,"6,85 a",,2,2017,Mūrinis,Namas (gyvenamasis),Dujinis,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Tabariškių k., Šalpusnių g., mūrinis namas",176 900 €,1C,"83,65 m²","3,71 a",4,2,2021,Mūrinis,Namas (gyvenamasis),Dujinis,Miesto vandentiekis,Įrengtas,Asfaltuotas privažiavimasElektraDujos,,Šildomos grindysPlastikiniai vamzdžiai,Aptverta teritorijaSignalizacija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,A,
"Kauno r. sav., Ražiškių k., Saulės al., mūrinis namas",255 000 €,,"192,68 m²","10,74 a",5,2,2014,Mūrinis,Namas (gyvenamasis),Kietu kuru,Miesto vandentiekis,Įrengtas,Asfaltuotas privažiavimas,GaražasPirtisRūbinėŪkiniai pastatai,Su baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysIndaplovė,Aptverta teritorijaSignalizacija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,B,
"Kaunas, Vytėnai, Užnerio g., mūrinis sublokuotas namas",275 000 €,,92 m²,"4,3 a",4,1,2023,Mūrinis,Sublokuotas namas,Kita,Miesto vandentiekis,Įrengtas,Asfaltuotas privažiavimasElektraInternetas,Terasa,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėIndaplovėRekuperacinė sistema,Aptverta teritorijaVaizdo kameros,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,A++,
"Kaunas, Romainiai, Bernatonių g., mūrinis namas",235 000 €,,"93,75 m²",2 a,3,1,2019,Mūrinis,Namas (gyvenamasis),Dujinis,,Įrengtas,ElektraDujosAsfaltuotas privažiavimas,,Skalbimo mašinaSu baldais,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kaunas, Rokai, Suvalkėlių g., mūrinis namas",79 999 €,,166 m²,"20,91 a",6,2,2012,Mūrinis,Namas (gyvenamasis),Kietu kuru,,Dalinė apdaila,,Garažas,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kaunas, Vytėnai, Užnerio g., mūrinis sublokuotas namas",199 000 €,,92 m²,"3,7 a",4,1,2023,Mūrinis,Sublokuotas namas,Kita,Miesto vandentiekis,Dalinė apdaila,Asfaltuotas privažiavimasElektra,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,A++,
"Kauno r. sav., Antalkių k., Karklės g., karkasinis namas",199 000 €,,"97,6 m²",369 a,4,2,2012,Karkasinis,Namas (gyvenamasis),Kita,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kaunas, Žemutiniai Kaniūkai, Maumedžių g., mūrinis sublokuotas namas",233 000 €,,"86,71 m²","2,71 a",4,2,2019,Mūrinis,Sublokuotas namas,Aeroterminis,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,A+,
"Kaunas, Panemunė, Kampiškių g., mūrinis sublokuotas namas",173 900 €,,"80,88 m²",2 a,3,2,2024,Mūrinis,Sublokuotas namas,Dujinis,Miesto vandentiekis,Dalinė apdaila,Asfaltuotas privažiavimasElektraDujos,Terasa,Šildomos grindysPlastikiniai vamzdžiai,Aptverta teritorija,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,Upė,300,A+,4400-5043-2200
"Kaunas, Aleksotas, Santarvės g., mūrinis sublokuotas namas",149 000 €,13C,68 m²,"2,22 a",,1,2024,Mūrinis,Sublokuotas namas,Dujinis,,Dalinė apdaila,,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kaunas, Aleksotas, Veiverių g., mūrinis namas",329 999 €,,"473,72 m²","10,7 a",,2,"1992 statyba, 2006 renovacija",Mūrinis,Namas (gyvenamasis),Centrinis,,Įrengtas,ElektraAsfaltuotas privažiavimas,Garažas,Skalbimo mašinaSu baldais,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Šatijų k., Šiaurinė g., mūrinis sodo namas",116 000 €,,79 m²,"7,17 a",4,1,2024,Mūrinis,Sodo namas,Aeroterminis,"Artezinis, vietinis vandentiekis",Įrengtas,Kraštinis sklypasAsfaltuotas privažiavimasElektra,,Šildomos grindysPlastikiniai vamzdžiai,Aptverta teritorija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,Tvenkinys,500,,
"Kaunas, Sargėnai, Dobilų g., mūrinis sublokuotas namas",262 000 €,,115 m²,3 a,4,2,2017,Mūrinis,Sublokuotas namas,Dujinis,Miesto vandentiekis,Įrengtas,Asfaltuotas privažiavimasElektraDujosInternetas,GaražasRūbinėTerasa,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiaiIndaplovė,Aptverta teritorijaSignalizacija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,Tvenkinys,100,B,
"Kauno r. sav., Virbališkių k., Aušros g., mūrinis namas",219 000 €,13,173 m²,9 a,4,1,2012,Mūrinis,Namas (gyvenamasis),"Elektra, kietu kuru",Vietinis vandentiekis,Įrengtas,Elektra,GaražasRūbinėTerasa,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasVirtuvės komplektasŽidinysPlastikiniai vamzdžiai,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kaunas, Vytėnai, Užnerio g., mūrinis namas",379 900 €,,223 m²,"7,55 a",,2,2006,Mūrinis,Namas (gyvenamasis),Dujinis,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kaunas, Kalniečiai, Muravos g., mūrinis namas",173 000 €,,"159,58 m²","4,51 a",5,1,"2018 statyba, 2018 renovacija",Mūrinis,Namas (gyvenamasis),Kietu kuru,,Dalinė apdaila,,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kaunas, Romainiai, Pakaunės g., mūrinis sublokuotas namas",179 000 €,,138 m²,"4,75 a",4,2,2024,Mūrinis,Sublokuotas namas,Aeroterminis,Miesto vandentiekis,Dalinė apdaila,Asfaltuotas privažiavimasElektra,GaražasTerasa,,Šarvuotos durys,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,A++,
"Kauno r. sav., Girininkų II k., Pavasario g., mūrinis namas",270 000 €,4,155 m²,"9,08 a",5,1,2024,Mūrinis,Namas (gyvenamasis),Aeroterminis,Artezinis,Dalinė apdaila,Greta miškoAsfaltuotas privažiavimasElektra,,Šildomos grindys,Aptverta teritorijaSignalizacija,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kaunas, Vilijampolė, Vytenio g., Namo dalis",69 900 €,5,"37,45 m²","2,7 a",,1,1937,Kita,Namo dalis,Kietu kuru,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Narėpų k., Pašvaistės g., mūrinis sublokuotas namas",249 900 €,1,126 m²,"3,5 a",,2,2024,Mūrinis,Sublokuotas namas,Aeroterminis,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kaunas, Marvelė, Gižų g., mūrinis namas",369 999 €,,"250,72 m²","15,58 a",5,1,2018,Mūrinis,Namas (gyvenamasis),Centrinis kolektorinis,,Įrengtas,ElektraDujosInternetasKabelinė televizija,GaražasTerasa,Su baldais,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Didžiųjų Lapių k., Golfo g., mūrinė sodyba",690 000 €,7,"465,93 m²",1846 a,,2,1991,Mūrinis,Sodyba,Kita,Vietinis vandentiekis,Įrengtas,Greta miškoElektra,Ūkiniai pastatai,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kaunas, Petrašiūnai, Ugniakuro g., mūrinis namas",320 000 €,47,"250,55 m²",12 a,5,2,2012,Mūrinis,Namas (gyvenamasis),"Geoterminis, saulės energija",Miesto vandentiekis,Dalinė apdaila,Kraštinis sklypasElektra,GaražasRūbinėTerasa,Skalbimo mašinaŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiaiIndaplovėRekuperacinė sistema,Signalizacija,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,Tvenkinys,500,,
"Kaunas, Petrašiūnai, Ugniakuro g., mūrinis namas",299 999 €,29,"199,68 m²",6 a,4,2,2010,Mūrinis,Namas (gyvenamasis),Geoterminis,Miesto vandentiekis,Įrengtas,ElektraKabelinė televizija,GaražasRūbinėTerasa,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiaiIndaplovėRekuperacinė sistema,Aptverta teritorijaSignalizacijaŠarvuotos durys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Domeikavos k., Aukščių g., mūrinis namas",175 000 €,59,"283,68 m²",9 a,8,2,"1991 statyba, 2006 renovacija",Mūrinis,Namas (gyvenamasis),Kietu kuru,Miesto vandentiekis,Įrengtas,ElektraInternetasKabelinė televizija,GaražasRūbinėRūsysŪkiniai pastataiTerasa,Su baldaisVirtuvės komplektas,Aptverta teritorija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kaunas, Žaliakalnis, A. Jasaičio g., rąstinė namo dalis",79 000 €,18,"80,97 m²","2,83 a",2,1,"1956 statyba, 2016 renovacija",Rąstinis,Namo dalis,Centrinis,Miesto vandentiekis,Įrengtas,Asfaltuotas privažiavimasElektraInternetas,RūsysŪkiniai pastatai,Su baldaisVirtuvės komplektas,Aptverta teritorija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Arlaviškių k., Vynuogių g., medinis sodo namas",21 500 €,,"56,87 m²","6,41 a",,1,1984,Medinis,Sodo namas,Centrinis,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Šatijų k., Dvaro g., mūrinis sublokuotas namas",151 999 €,17-2,"107,58 m²",5 a,4,2,"2024 statyba, 2024 renovacija",Mūrinis,Sublokuotas namas,Aeroterminis,Vietinis vandentiekis,Dalinė apdaila,Greta miškoAsfaltuotas privažiavimasElektraDujosInternetasKabelinė televizija,RūbinėTerasa,Šildomos grindysPlastikiniai vamzdžiaiRekuperacinė sistema,Aptverta teritorija,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,Tvenkinys,600,A+,
"Kauno r. sav., Ringaudų k., Graužės g., mūrinis sublokuotas namas",212 000 €,,"242,17 m²",6 a,,1,"1993 statyba, 2023 renovacija",Mūrinis,Sublokuotas namas,Dujinis,,Dalinė apdaila,,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Ringaudų k., Graužės g., mūrinis sublokuotas namas",209 000 €,,"148,27 m²",4 a,,1,"1993 statyba, 2023 renovacija",Mūrinis,Sublokuotas namas,Dujinis,,Dalinė apdaila,,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kaunas, Senamiestis, Druskininkų g., mūrinis namas",989 999 €,,"327,79 m²",2 a,10,4,2013,Mūrinis,Namas (gyvenamasis),Dujinis,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Arlaviškių k., Žalioji g., mūrinis namas",49 000 €,,"119,34 m²","6,61 a",3,2,1985,Mūrinis,Namas (gyvenamasis),Kietu kuru,,Įrengtas,Kraštinis sklypasElektraAsfaltuotas privažiavimas,GaražasPirtis,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Laumėnų k., Gėlių g., mūrinis namas",279 000 €,,330 m²,11 a,,3,"1977 statyba, 2012 renovacija",Mūrinis,Namas (gyvenamasis),"Centrinis kolektorinis, elektra, kietu kuru",,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kaunas, Romainiai, M. ir P. Šalčių g., mūrinis sublokuotas namas",144 000 €,,90 m²,"3,5 a",4,2,2023,Mūrinis,Sublokuotas namas,Dujinis,Miesto vandentiekis,Dalinė apdaila,Kraštinis sklypasGreta miškoAsfaltuotas privažiavimasElektraDujosInternetas,RūbinėTerasa,Šildomos grindysPlastikiniai vamzdžiai,Aptverta teritorijaSignalizacija,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,Upė,1 000,A+,
"Kauno r. sav., Šlienavos k., Parko g., mūrinis sublokuotas namas",154 400 €,1,148 m²,7 a,,2,2022,Mūrinis,Sublokuotas namas,Kita,Artezinis,Dalinė apdaila,Kraštinis sklypasAsfaltuotas privažiavimasElektra,Garažas,Šildomos grindysPlastikiniai vamzdžiai,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,Ežeras,800,A++,
"Kauno r. sav., Vijūkų k., Aluonos g., mūrinis sublokuotas namas",166 900 €,21,"81,53 m²",3 a,3,2,2010,Mūrinis,Sublokuotas namas,Dujinis,Miesto vandentiekis,Įrengtas,Asfaltuotas privažiavimasElektraDujosInternetasKabelinė televizija,RūbinėTerasa,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiai,Aptverta teritorijaSignalizacijaŠarvuotos durys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Garliavos m., R. Mizaros g., mūrinis namas",130 000 €,30,"138,9 m²","6,6 a",5,1,1974,Mūrinis,Namas (gyvenamasis),"Dujinis, kietu kuru, kita",Miesto vandentiekis,Įrengtas,Asfaltuotas privažiavimasElektraDujos,RūsysŪkiniai pastatai,,Aptverta teritorija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kaunas, Senamiestis, J. Gruodžio g., mūrinis namas",240 000 €,,"295,57 m²","1,95 a",12,4,1938,Mūrinis,Namas (gyvenamasis),Kita,,Neįrengtas,ElektraAsfaltuotas privažiavimas,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Drąseikių k., Beržo g., medinis sodo namas",18 400 €,,"22,56 m²","5,41 a",2,2,1988,Medinis,Sodo namas,Kita,,Įrengtas,Elektra,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Lepšiškių k., Ežero g., mūrinis sodo namas",71 500 €,,"88,85 m²",11 a,2,2,1996,Mūrinis,Sodo namas,"Elektra, kietu kuru",Šulinys,Įrengtas,Kraštinis sklypasGreta miškoElektra,GaražasPirtisRūsys,Su baldaisŽidinys,Aptverta teritorija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,Tvenkinys,200,,
"Kauno r. sav., Dubravų k., Vilties g., rąstinis namas",42 000 €,,"59,24 m²",10 a,3,2,1994,Rąstinis,Namas (gyvenamasis),Aeroterminis,,Įrengtas,Kraštinis sklypasElektraAsfaltuotas privažiavimas,Garažas,KondicionieriusSu baldais,Šarvuotos durys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kaunas, Žemieji Šančiai, Kretingos g., mūrinio namo dalis",159 000 €,,"143,4 m²",3 a,4,2,1992,Mūrinis,Namo dalis,Dujinis,,Įrengtas,,Garažas,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Miriniškių k., Vijoklių g., mūrinis sublokuotas namas",175 000 €,,130 m²,"3,9 a",4,2,2023,Mūrinis,Sublokuotas namas,Aeroterminis,Miesto vandentiekis,Dalinė apdaila,ElektraInternetas,,Šildomos grindysPlastikiniai vamzdžiaiRekuperacinė sistema,Aptverta teritorijaSignalizacija,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,A++,
"Kaunas, Žaliakalnis, Savanorių pr., mūrinio namo dalis",199 900 €,80,"104,8 m²","2,63 a",3,1,1955,Mūrinis,Namo dalis,Dujinis,Miesto vandentiekis,Įrengtas,Asfaltuotas privažiavimasElektraDujosInternetas,Rūsys,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėPlastikiniai vamzdžiaiIndaplovė,Aptverta teritorijaSignalizacijaŠarvuotos durys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Drąseikių k., Liepų g., mūrinis sodo namas",17 000 €,10,73 m²,6 a,,2,2008,Mūrinis,Sodo namas,Kietu kuru,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Giraitės k., Mėlynių g., mūrinis namas",138 000 €,,80 m²,"4,5 a",,1,2023,Mūrinis,Namas (gyvenamasis),Aeroterminis,,Dalinė apdaila,,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Sergeičikų I k., Laukuvos g., mūrinis namas",220 000 €,,137 m²,"10,65 a",4,1,2023,Mūrinis,Namas (gyvenamasis),Aeroterminis,Artezinis,Dalinė apdaila,Elektra,GaražasRūbinėTerasa,Šildomos grindys,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Sergeičikų I k., Laukuvos g., mūrinis namas",184 000 €,,115 m²,"10,68 a",4,1,2023,Mūrinis,Namas (gyvenamasis),Aeroterminis,Artezinis,Dalinė apdaila,Elektra,RūbinėTerasa,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kaunas, Žaliakalnis, Ignalinos g., mūrinis namas",525 000 €,,365 m²,6 a,12,2,2004,Mūrinis,Namas (gyvenamasis),Dujinis,Miesto vandentiekis,Įrengtas,Asfaltuotas privažiavimasElektraDujosInternetas,GaražasRūsysŪkiniai pastatai,Skalbimo mašinaSu baldaisŠaldytuvasVirtuvės komplektasViryklėPlastikiniai vamzdžiaiIndaplovė,Aptverta teritorijaSignalizacijaŠarvuotos durys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kaunas, Žaliakalnis, P. Dovydaičio g., mūrinis namas",370 000 €,,"224,72 m²",6 a,6,2,1985,Mūrinis,Namas (gyvenamasis),Dujinis,Miesto vandentiekis,Kita,Kraštinis sklypasAsfaltuotas privažiavimasElektraInternetas,GaražasRūsysTerasa,,Aptverta teritorijaŠarvuotos durys,Pastatyti naujus namus padėsprofesionalūs statybininkaiiš,Saulės elektrinė Jūsų namui ar butui:,Upė,300,,
"Kaunas, Šilainiai, Šalnos g., mūrinis namas",298 000 €,5,"212,03 m²","9,97 a",4,2,1981,Mūrinis,Namas (gyvenamasis),Centrinis,Miesto vandentiekis,Įrengtas,Kraštinis sklypasGreta miškoAsfaltuotas privažiavimasElektra,GaražasPirtisRūsysŪkiniai pastataiTerasa,Su baldaisVirtuvės komplektasŽidinys,Aptverta teritorija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Giraitės k., Eglių g., mūrinio namo dalis",170 000 €,,100 m²,4 a,4,1,2023,Mūrinis,Namo dalis,Aeroterminis,Miesto vandentiekis,Dalinė apdaila,Kraštinis sklypasAsfaltuotas privažiavimasElektraDujosInternetas,RūbinėTerasa,Šildomos grindysPlastikiniai vamzdžiai,Aptverta teritorijaSignalizacija,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,A++,
"Kauno r. sav., Pabiržio k., Miškininkų g., mūrinis namas",41 000 €,,131 m²,6 a,,2,2023,Mūrinis,Namas (gyvenamasis),Aeroterminis,,Pamatai,,,,,Pastatyti naujus namus padėsprofesionalūs statybininkaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kaunas, Dainava, Pelėdų tak., mūrinis namas",280 000 €,,162 m²,7 a,3,2,2006,Mūrinis,Namas (gyvenamasis),"Dujinis, kietu kuru",Miesto vandentiekis,Įrengtas,ElektraDujos,GaražasPirtisRūsysTerasa,Su baldaisŠaldytuvasVirtuvės komplektasViryklėŽidinys,Aptverta teritorija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Ražių k., Vagos g., mūrinis namas",35 000 €,19,80 m²,"18,24 a",,1,2023,Mūrinis,Namas (gyvenamasis),Elektra,,Nebaigtas statyti,,,,,Pastatyti naujus namus padėsprofesionalūs statybininkaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Giraitės k., Obelų g., mūrinis sublokuotas namas",129 900 €,7,93 m²,"2,5 a",4,2,2022,Mūrinis,Sublokuotas namas,Geoterminis,Miesto vandentiekis,Dalinė apdaila,Asfaltuotas privažiavimasElektraInternetasKabelinė televizija,RūbinėTerasa,Šildomos grindys,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,A++,
"Kauno r. sav., Seniavos k., Miestelėnų g., mūrinis sublokuotas namas",119 000 €,,"79,99 m²","2,05 a",4,2,2023,Mūrinis,Sublokuotas namas,Elektra,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Laumėnų k., Luknės g., mūrinis sodo namas",32 000 €,,"95,04 m²","6,08 a",2,1,2000,Mūrinis,Sodo namas,Kietu kuru,,Įrengtas,ElektraAsfaltuotas privažiavimas,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kaunas, Freda, Lekėčių g., mūrinis namas",432 000 €,24,"287,51 m²","15,48 a",,2,2002,Mūrinis,Namas (gyvenamasis),Dujinis,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kaunas, Sargėnai, Taurupio g., mūrinis sublokuotas namas",195 000 €,5,"93,24 m²","2,11 a",4,2,2024,Mūrinis,Sublokuotas namas,Aeroterminis,Miesto vandentiekis,Įrengtas,Asfaltuotas privažiavimasElektra,RūbinėTerasa,KondicionieriusŠildomos grindysPlastikiniai vamzdžiaiRekuperacinė sistema,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Jonučių II k., Elnio g., mūrinis sublokuotas namas",140 000 €,,"96,31 m²","2,8 a",,2,2023,Mūrinis,Sublokuotas namas,Dujinis,,Dalinė apdaila,,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Čebeliškės k., Kaulenių g., rąstinis namas",120 000 €,,72 m²,193 a,2,1,"2002 statyba, 2002 renovacija",Rąstinis,Namas (gyvenamasis),Kietu kuru,Šulinys,Įrengtas,Elektra,GaražasŪkiniai pastatai,,Aptverta teritorija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,Tvenkinys,,,
"Kaunas, Aleksotas, M. Katiliškio g., mūrinis sublokuotas namas",150 000 €,13,84 m²,"2,07 a",,2,2022,Mūrinis,Sublokuotas namas,Aeroterminis,,Dalinė apdaila,,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Mitkūnų k., Kadagių g., mūrinis sublokuotas namas",148 000 €,,98 m²,"3,58 a",,2,2024,Mūrinis,Sublokuotas namas,Aeroterminis,,Dalinė apdaila,,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kaunas, Sargėnai, Gamyklos g., mūrinis namas",260 000 €,,"414,52 m²","16,53 a",8,2,1992,Mūrinis,Namas (gyvenamasis),Dujinis,,Įrengtas,ElektraDujosInternetasKabelinė televizijaAsfaltuotas privažiavimas,GaražasPirtisTerasa,Skalbimo mašinaSu baldais,SignalizacijaŠarvuotos durys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Šakių k., Rusnės g., mūrinis sublokuotas namas",250 000 €,,80 m²,"3,35 a",4,1,2018,Mūrinis,Sublokuotas namas,Dujinis,,Įrengtas,DujosInternetasKabelinė televizijaAsfaltuotas privažiavimas,Terasa,KondicionieriusSkalbimo mašinaSu baldais,SignalizacijaŠarvuotos durys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,A,
