Adresas,Kaina,Namo numeris:,Plotas:,Sklypo plotas:,Kambarių sk.:,Aukštų sk.:,Metai:,Pastato tipas:,Namo tipas:,Šildymas:,Vanduo:,Įrengimas:,Ypatybės:,Papildomos patalpos:,Papildoma įranga:,Apsauga:,Reklama:,Reklama/pasiūlymas:,Artimiausias vandens telkinys:,Iki vandens telkinio (m):,Pastato energijos suvartojimo klasė:,Unikalus daikto numeris(RC numeris):
"Kaunas, Aleksotas, Zylių g., mūrinis sublokuotas namas",225 000 €,2,80 m²,2 a,3,2,2022,Mūrinis,Sublokuotas namas,Dujinis,Miesto vandentiekis,Įrengtas,Asfaltuotas privažiavimasElektraDujosInternetasKabelinė televizija,Terasa,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėPlastikiniai vamzdžiaiIndaplovėRekuperacinė sistema,Aptverta teritorijaSignalizacijaŠarvuotos durys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,A+,
"Kaunas, Aleksotas, A. J. Povilaičio g., mūrinis sublokuotas namas",169 000 €,18,103 m²,3 a,,2,2024,Mūrinis,Sublokuotas namas,Aeroterminis,Miesto vandentiekis,Dalinė apdaila,ElektraDujosInternetas,,KondicionieriusŠildomos grindysRekuperacinė sistema,Aptverta teritorijaŠarvuotos durys,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,A++,
"Kauno r. sav., Jadagonių k., Mėtų g., medinis sodo namas",26 900 €,,80 m²,6 a,2,1,2010,Medinis,Sodo namas,Elektra,"Vietinis vandentiekis, kita",Įrengtas,Elektra,,Su baldaisŠaldytuvas,Aptverta teritorija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,Tvenkinys,200,,
"Kaunas, Romainiai, A. Šapokos g., mūrinis namas",169 000 €,54,92 m²,5 a,,1,2023,Mūrinis,Namas (gyvenamasis),Kita,,Dalinė apdaila,,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kaunas, Romainiai, Žolynų g., mūrinis namas",348 000 €,,211 m²,10 a,5,1,2024,Mūrinis,Namas (gyvenamasis),"Elektra, geoterminis, dujinis",Miesto vandentiekis,Dalinė apdaila,,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Tauralaukio k., Saulės g., medinis sodo namas",26 900 €,,45 m²,6 a,2,1,1988,Medinis,Sodo namas,Kita,,Įrengtas,Elektra,RūsysTerasa,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,Tvenkinys,200,,
"Kauno r. sav., Miriniškių k., Kuršių g., mūrinis namas",175 000 €,4,85 m²,"5,02 a",4,1,2024,Mūrinis,Namas (gyvenamasis),"Centrinis kolektorinis, geoterminis",Miesto vandentiekis,Dalinė apdaila,Asfaltuotas privažiavimasElektraInternetasKabelinė televizija,Rūbinė,Šildomos grindysPlastikiniai vamzdžiai,Aptverta teritorijaSignalizacija,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,A++,
"Kauno r. sav., Giraitės k., Girios g., mūrinis sublokuotas namas",199 000 €,,"111,6 m²",2 a,4,2,2016,Mūrinis,Sublokuotas namas,Dujinis,Miesto vandentiekis,Įrengtas,Asfaltuotas privažiavimasElektraDujosInternetasKabelinė televizija,GaražasRūbinėTerasa,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėPlastikiniai vamzdžiaiIndaplovė,Aptverta teritorijaSignalizacijaŠarvuotos durysVaizdo kameros,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,B,
"Kaunas, Šilainiai, Vėjo g., mūrinis namas",264 000 €,,"150,69 m²","5,6 a",7,2,2004,Mūrinis,Namas (gyvenamasis),"Dujinis, kietu kuru",Miesto vandentiekis,Įrengtas,ElektraDujosInternetas,GaražasRūbinėŪkiniai pastataiTerasa,Šildomos grindysŽidinys,Aptverta teritorijaSignalizacija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Linksmakalnio k., skydinis namas",55 000 €,,59 m²,4 a,,1,2024,Skydinis,Namas (gyvenamasis),Kita,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Domeikavos k., Dvarkiemio g., mūrinis sublokuotas namas",299 999 €,,155 m²,5 a,4,2,2020,Mūrinis,Sublokuotas namas,Dujinis,Miesto vandentiekis,Įrengtas,Asfaltuotas privažiavimasDujosInternetas,GaražasTerasa,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėIndaplovė,Aptverta teritorijaSignalizacijaŠarvuotos durys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,B,
"Kaunas, Šilainiai, Žaibo g., mūrinis namas",159 900 €,11,"122,36 m²","6,02 a",,2,1962,Mūrinis,Namas (gyvenamasis),Dujinis,Miesto vandentiekis,Įrengtas,Asfaltuotas privažiavimasElektraDujos,GaražasRūsysŪkiniai pastatai,,Aptverta teritorija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Bajorų k., Volungių g., mūrinis namas",152 000 €,,95 m²,"4,5 a",4,1,2024,Mūrinis,Namas (gyvenamasis),Dujinis,Miesto vandentiekis,Dalinė apdaila,Kraštinis sklypasAsfaltuotas privažiavimasElektraDujosInternetas,,Šildomos grindysPlastikiniai vamzdžiai,Aptverta teritorija,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,Tvenkinys,800,,
"Kauno r. sav., Bajorų k., Volungių g., mūrinis namas",150 000 €,,100 m²,"4,5 a",4,1,2023,Mūrinis,Namas (gyvenamasis),Dujinis,Miesto vandentiekis,Dalinė apdaila,Kraštinis sklypasAsfaltuotas privažiavimasElektraDujosInternetas,,Šildomos grindysPlastikiniai vamzdžiai,Aptverta teritorija,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,Tvenkinys,800,,
"Kauno r. sav., Bajorų k., Volungių g., mūrinis namas",144 000 €,,90 m²,4 a,4,1,2024,Mūrinis,Namas (gyvenamasis),Dujinis,Miesto vandentiekis,Dalinė apdaila,Kraštinis sklypasAsfaltuotas privažiavimasElektraDujosInternetas,,Šildomos grindysPlastikiniai vamzdžiai,Aptverta teritorija,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,Tvenkinys,800,,
"Kaunas, Vaišvydava, Lygumų g., mūrinis namas",265 000 €,3,"208,57 m²","9,42 a",5,2,2023,Mūrinis,Namas (gyvenamasis),Dujinis,Vietinis vandentiekis,Dalinė apdaila,Elektra,GaražasTerasa,Šildomos grindysPlastikiniai vamzdžiai,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kaunas, Aleksotas, Būrio g., mūrinis sublokuotas namas",229 999 €,25,"161,41 m²","4,5 a",4,2,2010,Mūrinis,Sublokuotas namas,Kita,Miesto vandentiekis,Įrengtas,Kraštinis sklypasAsfaltuotas privažiavimasElektra,GaražasRūbinėRūsys,Šildomos grindysVirtuvės komplektasViryklė,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Gegužėnų k., rąstinis namas",65 000 €,1,"65,81 m²",174 a,,1,2003,Rąstinis,Namas (gyvenamasis),"Elektra, geoterminis, kita",,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kaunas, Romainiai, V. Kavolio g., mūrinis sublokuotas namas",169 000 €,56,85 m²,2 a,4,2,2023,Mūrinis,Sublokuotas namas,Aeroterminis,Miesto vandentiekis,Įrengtas,Asfaltuotas privažiavimasElektraInternetas,Terasa,Šildomos grindysPlastikiniai vamzdžiai,Aptverta teritorijaŠarvuotos durys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,A++,
"Kauno r. sav., Pyplių k., Bajorų g., mūrinis sublokuotas namas",172 500 €,,"123,82 m²",6 a,4,1,2024,Mūrinis,Sublokuotas namas,Aeroterminis,Vietinis vandentiekis,Dalinė apdaila,Kraštinis sklypasGreta miškoElektra,,Šildomos grindysPlastikiniai vamzdžiai,Aptverta teritorijaSignalizacija,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,Upė,,,
"Kaunas, Šilainiai, Bivylių g., mūrinis sublokuotas namas",128 700 €,105,"80,94 m²",2 a,3,2,2023,Mūrinis,Sublokuotas namas,Aeroterminis,Miesto vandentiekis,Dalinė apdaila,Asfaltuotas privažiavimasElektraInternetas,Terasa,Šildomos grindysPlastikiniai vamzdžiai,Aptverta teritorijaŠarvuotos durys,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,A++,
"Kauno r. sav., Miriniškių k., Ožiarūčių g., mūrinis sublokuotas namas",162 000 €,,90 m²,"4,7 a",4,1,2024,Mūrinis,Sublokuotas namas,Aeroterminis,Miesto vandentiekis,Dalinė apdaila,Elektra,,Šildomos grindysPlastikiniai vamzdžiai,Aptverta teritorijaSignalizacijaŠarvuotos durys,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Miriniškių k., Aukštoji g., mūrinis sublokuotas namas",166 000 €,,75 m²,"3,5 a",4,1,2024,Mūrinis,Sublokuotas namas,Aeroterminis,Miesto vandentiekis,Įrengtas,Elektra,,Šildomos grindysPlastikiniai vamzdžiai,Aptverta teritorijaSignalizacija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Vijūkų k., Žiedo g., mūrinis sublokuotas namas",153 999 €,,"85,5 m²","1,5 a",,2,2023,Mūrinis,Sublokuotas namas,Dujinis,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Vijūkų k., Žiedo g., mūrinis sublokuotas namas",152 999 €,,85 m²,2 a,,2,2023,Mūrinis,Sublokuotas namas,Dujinis,Miesto vandentiekis,Įrengtas,ElektraDujos,Rūbinė,Šildomos grindysPlastikiniai vamzdžiai,Šarvuotos durys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kaunas, Romainiai, Bernatonių g., mūrinis sublokuotas namas",149 000 €,,111 m²,"2,5 a",,2,2023,Mūrinis,Sublokuotas namas,Dujinis,,Dalinė apdaila,,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kaunas, Šilainiai, Bivylių g., mūrinis sublokuotas namas",133 000 €,,81 m²,"1,5 a",,2,2024,Mūrinis,Sublokuotas namas,Aeroterminis,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Jonučių II k., mūrinis sublokuotas namas",139 000 €,,100 m²,"2,5 a",,2,2023,Mūrinis,Sublokuotas namas,Dujinis,,Dalinė apdaila,,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
