Adresas,Kaina,Namo numeris:,Plotas:,Sklypo plotas:,Aukštų sk.:,Metai:,Pastato tipas:,Namo tipas:,Šildymas:,Įrengimas:,Reklama:,Reklama/pasiūlymas:,Kambarių sk.:,Vanduo:,Artimiausias vandens telkinys:,Iki vandens telkinio (m):,Ypatybės:,Papildomos patalpos:,Papildoma įranga:,Apsauga:,Pastato energijos suvartojimo klasė:,Unikalus daikto numeris(RC numeris):
"Šiaulių r. sav., Dainų k., Inovacijų g., Namas (gyvenamasis)",125 000 €,15,"145,46 m²","11,1 a",1,2024,Kita,Namas (gyvenamasis),Aeroterminis,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,
"Šiauliai, Šimšė, Prienų g., mūrinis namas",129 000 €,4,70 m²,"7,7 a",1,"1962 statyba, 2010 renovacija",Mūrinis,Namas (gyvenamasis),"Dujinis, kietu kuru",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,
"Šiauliai, Centras, V. Kudirkos g., rąstinė namo dalis",75 000 €,,50 m²,11 a,1,1974,Rąstinis,Namo dalis,Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,2,Miesto vandentiekis,,,ElektraDujos,Garažas,,,,
"Šiaulių r. sav., Ginkūnų k., Šviesos g., mūrinis sublokuotas namas",159 000 €,7,111 m²,6 a,2,2023,Mūrinis,Sublokuotas namas,Elektra,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,4,Miesto vandentiekis,Ežeras,100,Elektra,GaražasTerasa,,,A++,
"Šiaulių r. sav., Dainų k., Ringuvos g., mūrinis namas",183 600 €,21,120 m²,"8,62 a",1,2024,Mūrinis,Namas (gyvenamasis),Aeroterminis,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,4,Miesto vandentiekis,,,Elektra,Terasa,,,A++,
"Šiaulių r. sav., Kuršėnų m., Girios g., mūrinis namas",49 000 €,,84 m²,11 a,2,1987,Mūrinis,Namas (gyvenamasis),"Centrinis, dujinis, kietu kuru",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,
"Šiauliai, Verduliai, Sprudeikos g., mūrinis namas",319 000 €,68,157 m²,18 a,1,2018,Mūrinis,Namas (gyvenamasis),Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,4,Artezinis,,,Kraštinis sklypasElektraDujos,GaražasTerasa,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėPlastikiniai vamzdžiaiIndaplovėRekuperacinė sistema,Aptverta teritorijaSignalizacijaŠarvuotos durys,B,
"Šiaulių r. sav., Kuršėnų m., Ventos g., mūrinis namas",59 950 €,154,"115,46 m²",12 a,1,1954,Mūrinis,Namas (gyvenamasis),"Dujinis, kietu kuru",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,4,"Miesto vandentiekis, šulinys",Upė,1 100,Kraštinis sklypasAsfaltuotas privažiavimasElektraDujos,RūsysŪkiniai pastatai,Skalbimo mašinaŠaldytuvasViryklėPlastikiniai vamzdžiai,Aptverta teritorija,,
"Šiaulių r. sav., Žuvininkų k., Rasos g., mūrinis sublokuotas namas",300 000 €,120,160 m²,6 a,2,2023,Mūrinis,Sublokuotas namas,Elektra,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,Artezinis,,1 000,Greta miškoElektra,Terasa,Rekuperacinė sistema,Aptverta teritorijaSignalizacija,A+,
"Šiaulių r. sav., Vijolių k., Kadagių g., mūrinis namas",289 000 €,7,"155,89 m²",10 a,1,2023,Mūrinis,Namas (gyvenamasis),Centrinis kolektorinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,4,Miesto vandentiekis,Tvenkinys,200,Asfaltuotas privažiavimasElektraDujosInternetas,RūbinėTerasa,KondicionieriusŠildomos grindysRekuperacinė sistema,Aptverta teritorijaSignalizacijaVaizdo kameros,A++,
