Adresas,Kaina,Namo numeris:,Plotas:,Sklypo plotas:,Aukštų sk.:,Metai:,Pastato tipas:,Namo tipas:,Šildymas:,Įrengimas:,Reklama:,Reklama/pasiūlymas:,Kambarių sk.:,Vanduo:,Artimiausias vandens telkinys:,Iki vandens telkinio (m):,Ypatybės:,Papildomos patalpos:,Papildoma įranga:,Apsauga:,Pastato energijos suvartojimo klasė:,Unikalus daikto numeris(RC numeris):
"Šiauliai, Zokniai, Užmiesčio g., mūrinis namas",130 000 €,,"88,05 m²","31,81 a",1,1944,Mūrinis,Namas (gyvenamasis),Kietu kuru,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,
"Šiauliai, Lieporiai, Luknės g., mūrinis sublokuotas namas",259 999 €,17,"96,6 m²",4 a,2,2022,Mūrinis,Sublokuotas namas,Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,
"Šiauliai, Centras, Jovaro g., mūrinis namas",125 000 €,6A,"231,37 m²","10,96 a",1,1960,Mūrinis,Namas (gyvenamasis),"Dujinis, kietu kuru",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,
"Šiauliai, Centras, Dvaro g., mūrinis namas",100 000 €,,"196,51 m²","5,71 a",1,1961,Mūrinis,Namas (gyvenamasis),"Dujinis, kietu kuru",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,3,Miesto vandentiekis,,,Asfaltuotas privažiavimasElektraDujosInternetasKabelinė televizija,GaražasRūsys,Su baldaisPlastikiniai vamzdžiai,Aptverta teritorijaSignalizacija,,
"Šiaulių r. sav., Gervėnų k., Rugiagėlių g., Kita (nukeliamas, projektas, kt.)",12 000 €,8,30 m²,"6,51 a",2,1994,Kita,"Kita (nukeliamas, projektas, kt.)",Kietu kuru,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,2,Kita,Ežeras,1 000,Elektra,Rūsys,Židinys,,,
"Šiauliai, Rėkyva, Rūtos Sodų 3-oji g., medinis sodo namas",17 000 €,,"19,46 m²","8,2 a",1,1986,Medinis,Sodo namas,Kita,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,
"Šiauliai, Bačiūnai, Lelijos Sodų 8-oji g., blokinis sodo namas",133 000 €,6,"78,44 m²","0,061 a",1,2022,Blokinis,Sodo namas,Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,3,,,,ElektraDujosAsfaltuotas privažiavimas,,,Šarvuotos durys,,
"Šiauliai, Rėkyva, Žilvičio Sodų 2-oji g., mūrinis sodo namas",31 000 €,3,"72,92 m²",6 a,2,1989,Mūrinis,Sodo namas,Kietu kuru,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,2,"Šulinys, vietinis vandentiekis",Ežeras,900,Elektra,GaražasRūsys,Su baldais,Aptverta teritorija,,
"Šiauliai, Aleksandrija, Namas (gyvenamasis)",119 000 €,,64 m²,3 a,1,2023,Kita,Namas (gyvenamasis),Aeroterminis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,Miesto vandentiekis,,,ElektraInternetas,Terasa,Šildomos grindysPlastikiniai vamzdžiaiRekuperacinė sistema,Aptverta teritorijaSignalizacijaŠarvuotos durysVaizdo kameros,A++,
"Šiauliai, Pabaliai, Svajonės Sodų 3-oji g., karkasinis sodo namas",55 000 €,53,"47,53 m²","7,59 a",1,2018,Karkasinis,Sodo namas,"Aeroterminis, kietu kuru",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,
"Šiaulių r. sav., Žuvininkų k., Salduvės g., mūrinis sublokuotas namas",61 900 €,,133 m²,5 a,2,2023,Mūrinis,Sublokuotas namas,Kita,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,4,,,,,,,,,
"Šiaulių r. sav., Žuvininkų k., Salduvės g., mūrinis sublokuotas namas",61 900 €,,133 m²,5 a,2,2023,Mūrinis,Sublokuotas namas,Kita,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,4,,,,,,,,,
"Šiauliai, Centras, S. Daukanto g., Namo dalis",72 000 €,82,"73,64 m²","6,31 a",1,"1926 statyba, 1996 renovacija",Kita,Namo dalis,"Dujinis, kietu kuru",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,3,Miesto vandentiekis,,,Asfaltuotas privažiavimas,GaražasŪkiniai pastatai,,Aptverta teritorija,,
"Šiaulių r. sav., Sutkūnų k., Sutkūnų g., mūrinio namo dalis",34 900 €,,"72,37 m²","8,85 a",1,1974,Mūrinis,Namo dalis,Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,3,Miesto vandentiekis,,,Asfaltuotas privažiavimasElektraDujos,GaražasRūsysŪkiniai pastatai,Su baldaisŠaldytuvas,,,
"Šiaulių r. sav., Einoraičių k., Saulėtekio g., mūrinis namas",137 000 €,17A,"291,65 m²","29,2 a",2,2012,Mūrinis,Namas (gyvenamasis),"Dujinis, kietu kuru",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,6,Šulinys,Ežeras,3 500,Asfaltuotas privažiavimasElektraInternetas,GaražasŪkiniai pastatai,Šildomos grindysVirtuvės komplektasViryklėPlastikiniai vamzdžiaiIndaplovė,SignalizacijaŠarvuotos durys,,
"Šiaulių r. sav., Meškių k., Gėlių g., mūrinis namas",165 000 €,11,"198,65 m²","6,7 a",2,"1994 statyba, 2022 renovacija",Mūrinis,Namas (gyvenamasis),Aeroterminis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,5,Šulinys,Tvenkinys,300,Kraštinis sklypasElektra,GaražasTerasa,Šildomos grindysPlastikiniai vamzdžiai,Šarvuotos durys,,
"Šiaulių r. sav., Raizgių k., Vyturių g., mūrinis sublokuotas namas",158 000 €,15,"97,15 m²","6,4 a",1,2023,Mūrinis,Sublokuotas namas,Aeroterminis,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,4,"Artezinis, vietinis vandentiekis",Ežeras,150,Asfaltuotas privažiavimasElektraDujosInternetasKabelinė televizija,Terasa,Šildomos grindysRekuperacinė sistema,Aptverta teritorijaSignalizacijaŠarvuotos durys,,
"Šiauliai, Pabaliai, Audros skg., mūrinis namas",175 000 €,,"188,33 m²","6,97 a",1,1974,Mūrinis,Namas (gyvenamasis),"Dujinis, kietu kuru",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,4,"Miesto vandentiekis, šulinys",,,Asfaltuotas privažiavimasElektraDujos,GaražasRūsysŪkiniai pastatai,Skalbimo mašinaSu baldaisŠildomos grindysVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiai,Aptverta teritorijaŠarvuotos durys,,
"Šiauliai, Žaliūkiai, Bubių g., mūrinis namas",137 500 €,,"158,97 m²","5,89 a",2,1960,Mūrinis,Namas (gyvenamasis),Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,5,,,,,,,,,
"Šiauliai, Šimšė, K. Kalinausko g., mūrinis namas",230 000 €,,504 m²,"7,31 a",3,1990,Mūrinis,Namas (gyvenamasis),Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,12,,,,,,,,,
"Šiaulių r. sav., Šiupylių k., A. Griciaus g., medinis namas",9 500 €,27,"58,83 m²",38 a,1,1930,Medinis,Namas (gyvenamasis),Kietu kuru,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,3,Šulinys,,,Asfaltuotas privažiavimasElektra,Ūkiniai pastatai,,Aptverta teritorija,,
"Šiaulių r. sav., Bubių k., mūrinis sodo namas",23 900 €,,29 m²,7 a,2,1986,Mūrinis,Sodo namas,Kietu kuru,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,
"Šiauliai, Rėkyva, mūrinis sodo namas",54 000 €,,56 m²,11 a,2,1991,Mūrinis,Sodo namas,Kietu kuru,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,
"Šiauliai, Centras, Aukštoji g., rąstinė namo dalis",28 000 €,26,"25,47 m²","1,21 a",1,1926,Rąstinis,Namo dalis,Kietu kuru,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,1,"Miesto vandentiekis, šulinys",Ežeras,300,Asfaltuotas privažiavimasElektraInternetasKabelinė televizija,Ūkiniai pastatai,Skalbimo mašinaSu baldaisŠaldytuvasVirtuvės komplektasViryklėPlastikiniai vamzdžiai,Aptverta teritorija,,
"Šiauliai, Žaliūkiai, Verduliukų g., mūrinis sublokuotas namas",86 900 €,,"120,39 m²","3,17 a",2,1974,Mūrinis,Sublokuotas namas,Kietu kuru,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,5,,,,,,,,,
"Šiauliai, Bačiūnai, Paparčio Sodų 3-oji g., mūrinis namas",105 000 €,11,"138,34 m²","7,39 a",2,2008,Mūrinis,Namas (gyvenamasis),Kietu kuru,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,5,Šulinys,Tvenkinys,200,Elektra,Garažas,Virtuvės komplektasPlastikiniai vamzdžiai,Šarvuotos durys,,
"Šiauliai, Pabaliai, Šaukėnų g., mūrinis namas",64 000 €,,"9,27 m²","9,27 a",2,1980,Mūrinis,Namas (gyvenamasis),"Dujinis, kietu kuru",Neįrengtas,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,
"Šiaulių r. sav., Sereikių k., Gaidamavičiaus g., rąstinis namas",19 900 €,,"72,06 m²",108 a,1,1928,Rąstinis,Namas (gyvenamasis),Kietu kuru,Kita,Pastatyti naujus namus padėsprofesionalūs statybininkaiiš,Saulės elektrinė Jūsų namui ar butui:,3,Šulinys,,,Elektra,Ūkiniai pastatai,,,,
"Šiauliai, Medelynas, Marijampolės g., mūrinis namas",160 000 €,,"209,05 m²","7,94 a",2,1989,Mūrinis,Namas (gyvenamasis),Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,5,,,,,,,,,
"Šiauliai, Centras, M. K. Čiurlionio g., mūrinis namas",159 000 €,7A,"186,16 m²","6,25 a",2,1988,Mūrinis,Namas (gyvenamasis),Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,5,Miesto vandentiekis,,,ElektraDujosInternetas,GaražasRūsys,Skalbimo mašinaSu baldaisŠaldytuvasVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiaiIndaplovė,Aptverta teritorija,,
"Šiaulių r. sav., Drąsučių k., Laisvės g., rąstinis namas",43 900 €,9,"84,26 m²","16,36 a",1,1946,Rąstinis,Namas (gyvenamasis),"Elektra, kietu kuru",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,4,Šulinys,,,Kraštinis sklypasAsfaltuotas privažiavimasElektraInternetasKabelinė televizija,GaražasŪkiniai pastataiTerasa,KondicionieriusSu baldaisVirtuvės komplektasŽidinys,Aptverta teritorija,F,
"Šiaulių r. sav., Padeglių k., mūrinio namo dalis",35 000 €,4,"46,97 m²",47 a,2,1940,Mūrinis,Namo dalis,Kietu kuru,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,
"Šiaulių r. sav., Pašvinių k., Šaltinio g., mūrinis sodo namas",31 500 €,,"87,45 m²","6,63 a",2,1986,Mūrinis,Sodo namas,Kietu kuru,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,2,,,,Kraštinis sklypasElektraAsfaltuotas privažiavimas,GaražasPirtisTerasa,Su baldais,,,
"Šiauliai, Gegužiai, Baltų g., mūrinis sublokuotas namas",89 900 €,,90 m²,10 a,1,2024,Mūrinis,Sublokuotas namas,Kita,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,
"Šiauliai, Bačiūnai, Vyturio Sodų 7-oji g., mūrinis sodo namas",71 000 €,,"119,8 m²","6,8 a",1,1983,Mūrinis,Sodo namas,Kietu kuru,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,4,Artezinis,Ežeras,,Asfaltuotas privažiavimasElektraDujos,RūsysŪkiniai pastatai,,,,
"Šiauliai, Bačiūnai, Žilvičio Sodų 4-oji g., medinis sodo namas",25 500 €,51,20 m²,"10,41 a",1,2000,Medinis,Sodo namas,Kita,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,1,Vietinis vandentiekis,Ežeras,,Kraštinis sklypasElektraDujos,Ūkiniai pastatai,,,,
"Šiaulių r. sav., Drąsučių k., Laisvės g., rąstinis namas",29 000 €,29,"84,93 m²","33,58 a",2,1923,Rąstinis,Namas (gyvenamasis),"Centrinis, kietu kuru",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,5,"Šulinys, vietinis vandentiekis",,,Asfaltuotas privažiavimasElektra,GaražasŪkiniai pastatai,Su baldaisViryklė,Aptverta teritorija,,
"Šiaulių r. sav., Gilaičių k., Gilaičių g., blokinis namas",89 900 €,,"138,39 m²","32,98 a",2,1985,Blokinis,Namas (gyvenamasis),"Dujinis, kietu kuru",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,5,"Artezinis, miesto vandentiekis",Tvenkinys,15,Asfaltuotas privažiavimasElektraDujosInternetasKabelinė televizija,GaražasŪkiniai pastataiTerasa,Su baldaisVirtuvės komplektasPlastikiniai vamzdžiai,Signalizacija,,
"Šiaulių r. sav., Lukšių k., Plento g., medinė sodyba",29 500 €,14,25 m²,"52,93 a",1,2010,Medinis,Sodyba,Kietu kuru,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,2,Šulinys,,,Greta miškoElektra,Ūkiniai pastatai,,,,
"Šiauliai, Centras, Medelyno g., karkasinis namas",90 000 €,31,"129,89 m²",12 a,2,1948,Karkasinis,Namas (gyvenamasis),Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,7,"Miesto vandentiekis, šulinys",,,Asfaltuotas privažiavimasElektraDujos,GaražasŪkiniai pastatai,,Aptverta teritorijaŠarvuotos durys,,
"Šiaulių m. sav., Žaliūkių k., Jaros g., mūrinis namas",182 900 €,,223 m²,"9,33 a",1,2021,Mūrinis,Namas (gyvenamasis),"Elektra, dujinis",Neįrengtas,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,
"Šiauliai, Medelynas, Ramygalos g., mūrinis sublokuotas namas",159 500 €,4D,"79,99 m²","2,77 a",2,2020,Mūrinis,Sublokuotas namas,Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,4,Miesto vandentiekis,,,Asfaltuotas privažiavimasElektraDujosInternetasKabelinė televizija,RūbinėTerasa,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėPlastikiniai vamzdžiaiIndaplovėRekuperacinė sistema,Aptverta teritorijaSignalizacijaVaizdo kameros,A,
"Šiaulių r. sav., Aukštelkės k., Rūžos g., mūrinis namas",187 000 €,,"210,46 m²","16,75 a",2,2004,Mūrinis,Namas (gyvenamasis),Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,5,,,,,,,,,
"Šiauliai, Medelynas, Palangos g., mūrinis namas",170 000 €,,"263,03 m²","8,49 a",2,1985,Mūrinis,Namas (gyvenamasis),Centrinis kolektorinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,7,,,,,,,,,
"Šiaulių r. sav., Jakštaičių k., Salos g., mūrinis namas",355 000 €,55,"544,93 m²","120,47 a",2,2023,Mūrinis,Namas (gyvenamasis),Elektra,Nebaigtas statyti,Pastatyti naujus namus padėsprofesionalūs statybininkaiiš,Saulės elektrinė Jūsų namui ar butui:,,,Tvenkinys,,Elektra,BaseinasGaražas,,,,
"Šiaulių r. sav., Bubių k., Saulėtekio g., mūrinis namas",132 000 €,11,"223,52 m²","21,79 a",2,1991,Mūrinis,Namas (gyvenamasis),Kietu kuru,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,"Miesto vandentiekis, šulinys",Tvenkinys,750,Asfaltuotas privažiavimasElektraDujosInternetasKabelinė televizija,GaražasPirtisRūsysŪkiniai pastatai,ŠaldytuvasVirtuvės komplektasViryklėPlastikiniai vamzdžiaiIndaplovė,,,
"Šiauliai, Šimšė, Šeduvos g., mūrinis namas",55 900 €,14,90 m²,6 a,2,1967,Mūrinis,Namas (gyvenamasis),Kita,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,
"Šiaulių r. sav., Kuršėnų m., Aušros g., mūrinis namas",126 800 €,,232 m²,"9,16 a",2,1985,Mūrinis,Namas (gyvenamasis),"Dujinis, kietu kuru",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,5,"Miesto vandentiekis, šulinys",,200,Greta miškoAsfaltuotas privažiavimasElektraDujosInternetasKabelinė televizijaSu pakrante,GaražasRūsysŪkiniai pastataiTerasa,ŠaldytuvasVirtuvės komplektasViryklėPlastikiniai vamzdžiai,Aptverta teritorijaŠarvuotos durys,,
"Šiauliai, Medelynas, Klaipėdos g., mūrinis namas",88 000 €,7,"191,19 m²","6,7 a",2,1964,Mūrinis,Namas (gyvenamasis),"Dujinis, kietu kuru",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,5,Miesto vandentiekis,,,Kraštinis sklypasAsfaltuotas privažiavimasElektraDujos,GaražasRūsys,Su baldaisVirtuvės komplektasViryklė,Aptverta teritorija,,
"Šiauliai, Centras, Putinų g., karkasinis namas",285 000 €,,"127,18 m²","10,01 a",2,"1950 statyba, 2017 renovacija",Karkasinis,Namas (gyvenamasis),"Centrinis, dujinis, kietu kuru",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,4,"Miesto vandentiekis, šulinys",,,Asfaltuotas privažiavimasElektraDujosInternetasKabelinė televizija,GaražasRūsysŪkiniai pastataiTerasa,Su baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiai,Signalizacija,,
"Šiauliai, Bačiūnai, Aušrinės Sodų 7-oji g., karkasinis namas",76 500 €,3,"79,4 m²",5 a,1,2023,Karkasinis,Namas (gyvenamasis),Kita,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,3,Šulinys,,,Elektra,Terasa,,,,
"Šiaulių r. sav., Vinkšnėnų k., V. Bielskio g., mūrinis namas",205 000 €,,95 m²,"8,21 a",1,2021,Mūrinis,Namas (gyvenamasis),Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,3,,,,,,,,,
"Šiaulių r. sav., Pailių k., Medžiotojų g., mūrinis namas",85 000 €,,"139,87 m²","8,45 a",1,2022,Mūrinis,Namas (gyvenamasis),Kita,Nebaigtas statyti,Pastatyti naujus namus padėsprofesionalūs statybininkaiiš,Saulės elektrinė Jūsų namui ar butui:,,Kita,,,ElektraSu pakrante,Garažas,,,,
"Šiaulių r. sav., Vijolių k., Novatorių g., mūrinis namas",165 000 €,13,"126,48 m²",13 a,1,1982,Mūrinis,Namas (gyvenamasis),Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,5,"Miesto vandentiekis, šulinys",,,Asfaltuotas privažiavimasElektraDujos,GaražasRūbinėRūsysŪkiniai pastatai,,Šarvuotos durys,,
"Šiaulių r. sav., Gervėnų k., Avietyno g., Namas (gyvenamasis)",117 000 €,,79 m²,"9,59 a",1,2023,Kita,Namas (gyvenamasis),Elektra,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,
"Šiauliai, Bačiūnai, Žilvičio Sodų 4-oji g., mūrinis namas",88 000 €,,128 m²,6 a,1,2009,Mūrinis,Namas (gyvenamasis),"Dujinis, kietu kuru",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,3,"Šulinys, vietinis vandentiekis",Tvenkinys,,ElektraDujos,Ūkiniai pastatai,Su baldaisŠildomos grindysVirtuvės komplektasPlastikiniai vamzdžiai,Šarvuotos durys,,
"Šiauliai, Centras, Merkinės g., mūrinis namas",174 900 €,,189 m²,8 a,1,"2013 statyba, 2021 renovacija",Mūrinis,Namas (gyvenamasis),Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,
"Šiauliai, Centras, S. Daukanto g., karkasinis namas",130 000 €,51,147 m²,"13,8 a",2,1995,Karkasinis,Namas (gyvenamasis),"Dujinis, kietu kuru",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,Miesto vandentiekis,,,Asfaltuotas privažiavimasElektraDujos,GaražasŪkiniai pastatai,,Aptverta teritorijaŠarvuotos durys,,
"Šiauliai, Medelynas, Panevėžio g., mūrinis namas",127 000 €,51,280 m²,3 a,3,2002,Mūrinis,Namas (gyvenamasis),"Dujinis, kietu kuru",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,8,Miesto vandentiekis,,,Asfaltuotas privažiavimasElektraDujosInternetasKabelinė televizija,GaražasRūsys,Skalbimo mašinaSu baldaisŠaldytuvasVirtuvės komplektasŽidinys,Aptverta teritorijaŠarvuotos durys,,
"Šiauliai, Lieporiai, Jotvingių g., mūrinis namas",249 900 €,,172 m²,"8,3 a",1,2018,Mūrinis,Namas (gyvenamasis),Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,
"Šiauliai, Centras, Birutės g., mūrinis namas",140 000 €,,"328,73 m²","17,31 a",2,1988,Mūrinis,Namas (gyvenamasis),Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,8,"Miesto vandentiekis, šulinys",,,Asfaltuotas privažiavimasElektraDujos,GaražasRūsysŪkiniai pastatai,Su baldaisPlastikiniai vamzdžiai,Aptverta teritorijaŠarvuotos durys,,
"Šiauliai, Rėkyva, Lelijos Sodų 12-oji g., mūrinis sodo namas",137 000 €,,"79,89 m²",9 a,1,2024,Mūrinis,Sodo namas,Elektra,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,4,Šulinys,Ežeras,1 500,Elektra,Terasa,Šildomos grindysPlastikiniai vamzdžiaiRekuperacinė sistema,,,
"Šiauliai, Bačiūnai, Lakštingalos Sodų 10-oji g., mūrinis sodo namas",26 900 €,20,"46,34 m²","6,54 a",1,1983,Mūrinis,Sodo namas,"Centrinis, kietu kuru",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,1,"Šulinys, vietinis vandentiekis",Ežeras,500,Asfaltuotas privažiavimasElektra,Ūkiniai pastatai,,,G,
"Šiaulių r. sav., Bertužių k., Šiaulių g., mūrinis namas",209 000 €,,"114,56 m²",407 a,1,2004,Mūrinis,Namas (gyvenamasis),Kietu kuru,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,3,Šulinys,,,Asfaltuotas privažiavimasElektra,Ūkiniai pastataiTerasa,Su baldaisŠaldytuvasVirtuvės komplektasViryklėPlastikiniai vamzdžiai,,,
"Šiaulių r. sav., Vinkšnėnų k., Guobų g., mūrinis namas",189 000 €,,"130,07 m²","8,21 a",1,2021,Mūrinis,Namas (gyvenamasis),Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,4,Šulinys,,,ElektraDujosInternetasKabelinė televizija,GaražasRūbinėTerasa,,,,
"Šiauliai, Centras, Algirdo Juliaus Greimo g., rąstinė namo dalis",56 900 €,,57 m²,2 a,1,"1938 statyba, 1994 renovacija",Rąstinis,Namo dalis,Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,3,,,,ElektraDujosInternetasAsfaltuotas privažiavimas,,Su baldais,Šarvuotos durys,,
"Šiaulių r. sav., Bubių k., mūrinis sodo namas",59 900 €,,80 m²,"7,5 a",2,1982,Mūrinis,Sodo namas,Kita,Neįrengtas,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,4,Kita,Tvenkinys,15,ElektraSu pakrante,GaražasRūsysŪkiniai pastatai,,,,
"Šiaulių r. sav., Vijolių k., Veterinarijos g., mūrinis namas",145 000 €,,"271,16 m²","17,48 a",1,1983,Mūrinis,Namas (gyvenamasis),Centrinis kolektorinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,7,,,,,,,,,
